// gen_swimmers --poly=60,10:-30.3602,-32.8374:-4.6578,-87.0535:85.7024,-44.2161 --swimmers=15 --sep=15
// Lowest dist between swimmers: 15.00
poly = pts={60,10:-30.3602,-32.8374:-4.6578,-87.0535:85.7024,-44.2161}
swimmer = name=p01, x=23, y=-55
swimmer = name=p02, x=62, y=-27
swimmer = name=p03, x=6, y=-72
swimmer = name=p04, x=56, y=-3
swimmer = name=p05, x=-13, y=-31
swimmer = name=p06, x=9, y=-34
swimmer = name=p07, x=37, y=-62
swimmer = name=p08, x=-10, y=-66
swimmer = name=p09, x=50, y=-37
swimmer = name=p10, x=20, y=-17
swimmer = name=p11, x=23, y=-40
swimmer = name=p12, x=-20, y=-46
swimmer = name=p13, x=-5, y=-50
swimmer = name=p14, x=78, y=-44
swimmer = name=p15, x=34, y=-5
