// gen_swimmers --poly=60,10:-30.36,-32.84:-4.66,-87.05:85.7,-44.22 --swimmers=15 --unreg=0 --sep=7
// Lowest dist between swimmers: 9.49
poly = pts={60,10:-30.36,-32.84:-4.66,-87.05:85.7,-44.22}
swimmer = name=p01, x=45, y=-43
swimmer = name=p02, x=-8, y=-65
swimmer = name=p03, x=6, y=-46
swimmer = name=p04, x=62, y=-38
swimmer = name=p05, x=-5, y=-33
swimmer = name=p06, x=4, y=-63
swimmer = name=p07, x=20, y=-57
swimmer = name=p08, x=55, y=-3
swimmer = name=p09, x=19, y=-22
swimmer = name=p10, x=71, y=-35
swimmer = name=p11, x=21, y=-71
swimmer = name=p12, x=33, y=-65
swimmer = name=p13, x=56, y=-20
swimmer = name=p14, x=-15, y=-26
swimmer = name=p15, x=22, y=-10
