// gen_swimmers --poly=60,10:-30.3602,-32.8374:-4.6578,-87.0535:85.7024,-44.2161 --swimmers=15 --sep=7
// Lowest dist between swimmers: 7.62
poly = pts={60,10:-30.3602,-32.8374:-4.6578,-87.0535:85.7024,-44.2161}
swimmer = name=p01, x=15, y=-61
swimmer = name=p02, x=77, y=-34
swimmer = name=p03, x=-5, y=-39
swimmer = name=p04, x=9, y=-55
swimmer = name=p05, x=5, y=-65
swimmer = name=p06, x=-5, y=-25
swimmer = name=p07, x=53, y=-24
swimmer = name=p08, x=37, y=-38
swimmer = name=p09, x=35, y=-11
swimmer = name=p10, x=58, y=-30
swimmer = name=p11, x=50, y=-17
swimmer = name=p12, x=50, y=-50
swimmer = name=p13, x=4, y=-17
swimmer = name=p14, x=36, y=-2
swimmer = name=p15, x=70, y=-48
