// gen_swimmers --poly=60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241 --swimmers=21 --sep=10
// Lowest dist between swimmers: 11.00
poly = pts={60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241}
swimmer = name=p01, x=-5, y=-36
swimmer = name=p02, x=61, y=-51
swimmer = name=p03, x=-11, y=-57
swimmer = name=p04, x=73, y=-56
swimmer = name=p05, x=-19, y=-73
swimmer = name=p06, x=16, y=-53
swimmer = name=p07, x=-66, y=-64
swimmer = name=p08, x=9, y=-94
swimmer = name=p09, x=44, y=-44
swimmer = name=p10, x=33, y=-85
swimmer = name=p11, x=-31, y=-67
swimmer = name=p12, x=-4, y=-110
swimmer = name=p13, x=84, y=-70
swimmer = name=p14, x=41, y=-10
swimmer = name=p15, x=27, y=-53
swimmer = name=p16, x=-6, y=-95
swimmer = name=p17, x=45, y=-60
swimmer = name=p18, x=-41, y=-82
swimmer = name=p19, x=55, y=-6
swimmer = name=p20, x=54, y=-90
swimmer = name=p21, x=84, y=-48
