// gen_swimmers --poly=60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241 --swimmers=21 --sep=15
// Lowest dist between swimmers: 15.13
poly = pts={60,10:-75.5402,-54.2561:-36.9866,-135.58:98.5536,-71.3241}
swimmer = name=p01, x=58, y=-60
swimmer = name=p02, x=26, y=-89
swimmer = name=p03, x=28, y=-49
swimmer = name=p04, x=-17, y=-108
swimmer = name=p05, x=55, y=-87
swimmer = name=p06, x=44, y=-66
swimmer = name=p07, x=54, y=-30
swimmer = name=p08, x=-33, y=-56
swimmer = name=p09, x=-51, y=-66
swimmer = name=p10, x=12, y=-30
swimmer = name=p11, x=35, y=-6
swimmer = name=p12, x=73, y=-80
swimmer = name=p13, x=-13, y=-86
swimmer = name=p14, x=30, y=-23
swimmer = name=p15, x=74, y=-27
swimmer = name=p16, x=13, y=-47
swimmer = name=p17, x=-32, y=-122
swimmer = name=p18, x=-35, y=-98
swimmer = name=p19, x=52, y=-5
swimmer = name=p20, x=40, y=-95
swimmer = name=p21, x=-23, y=-33
